id;first_name;last_name;email;phone_number;salary
1;Elena;Rangel;Lola.Iglesias75@yahoo.com;repurpose withdrawal;25834
2;Irene;Jiménez;Elvira.Ballesteros@gmail.com;Madera interfaces;75289
3;Jacobo;Yáñez;Cristin58@hotmail.com;Acero;90233
4;Irene;Polanco;Cristina.Collazo34@yahoo.com;Berkshire Morado;15436
5;Claudio;Trujillo;MaraEugenia92@yahoo.com;Albania;54263
6;María;Velasco;Esteban.Loya@yahoo.com;value-added;20289
7;Nicolás;Pacheco;Hernn_Quirz@hotmail.com;frictionless Cuentas;13556
8;Jorge Luis;Botello;Caridad72@yahoo.com;Descentralizado rich;65826
9;Caridad;Laboy;Sofa28@gmail.com;Sorprendente;50881
10;Sofía;Mesa;Armando21@gmail.com;calculating Bacon Oficial;24173
